Series Name,Series Code,Country Name,Latitude,Longitude,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Forest area (sq. km),AG.LND.FRST.K2,Afghanistan,33.93911,67.709953,AFG,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Albania,41.153332,20.168331,ALB,7820.7,7834.935,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889,7889,7889,7889,7889,..,..
Forest area (sq. km),AG.LND.FRST.K2,Algeria,28.033886,1.659626,DZA,19180,19256,19332,19408,19484,19560,19560,19430,19300,19390,19490,19583.333,19681.111,..,..
Forest area (sq. km),AG.LND.FRST.K2,American Samoa,-14.270972,-170.132217,ASM,174.3,174,173.7,173.4,173.1,172.8,172.5,172.2,171.9,171.6,171.3,171,170.7,..,..
Forest area (sq. km),AG.LND.FRST.K2,Andorra,42.546245,1.601554,AND,160,160,160,160,160,160,160,160,160,160,160,160,160,..,..
Forest area (sq. km),AG.LND.FRST.K2,Angola,-11.202692,17.873887,AGO,721580,716029.38,710478.76,704928.14,699377.52,693826.9,688276.2,682725.7,677175.1,671624.4,666073.8,660523.133,654972.511,..,..
Forest area (sq. km),AG.LND.FRST.K2,Antigua and Barbuda,17.060816,-61.796428,ATG,87.8,87.14,86.48,85.82,85.16,84.5,83.8,83.2,82.5,81.8,81.2,80.533,79.911,..,..
Forest area (sq. km),AG.LND.FRST.K2,Argentina,-38.416097,-63.616672,ARG,302140,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730,284636.667,283552.222,..,..
Forest area (sq. km),AG.LND.FRST.K2,Armenia,40.069099,45.038189,ARM,3305.6,3303.52,3301.44,3299.36,3297.28,3295.2,3293.1,3291,3288.9,3286.8,3284.7,3282.6,3280.5,..,..
Forest area (sq. km),AG.LND.FRST.K2,Aruba,12.52111,-69.968338,ABW,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Australia,-25.274398,133.775136,AUS,1295461,1302557.8,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051,1340051,1340051,..,..
Forest area (sq. km),AG.LND.FRST.K2,Austria,47.516231,14.550072,AUT,38632,38667.98,38703.96,38739.94,38775.92,38811.9,38847.9,38883.8,38919.7,38870,38898.2,38926.4,38954.5,..,..
Forest area (sq. km),AG.LND.FRST.K2,Azerbaijan,40.143105,47.576927,AZE,10324.946,10415.731,10506.515,10597.3,10688.085,10778.87,10874.752,10971.848,11087.15,11202.4,11317.7,11432.967,11548.256,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bahamas,25.03428,-77.39628,BHS,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bahrain,25.930414,50.637772,BHR,5.2,5.36,5.52,5.68,5.84,6,6.2,6.4,6.6,6.8,7,7.2,7.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bangladesh,23.684994,90.356331,BGD,18883.42,18873.536,18863.652,18853.768,18843.884,18834,18834,18834,18834,18834,18834,18834,18834,..,..
Forest area (sq. km),AG.LND.FRST.K2,Barbados,13.193887,-59.543198,BRB,63,63,63,63,63,63,63,63,63,63,63,63,63,..,..
Forest area (sq. km),AG.LND.FRST.K2,Belarus,53.709807,27.953389,BLR,86300,86307,86314,86321,86328,86335,87096,87241,87386,87531,87676,87821,87966,..,..
Forest area (sq. km),AG.LND.FRST.K2,Belgium,50.503887,4.469936,BEL,6898.7,6897.56,6896.42,6895.28,6894.14,6893,6893,6893,6893,6893,6893,6893,6893,..,..
Forest area (sq. km),AG.LND.FRST.K2,Belize,17.189877,-88.49765,BLZ,13913.9,13796.78,13679.66,13562.54,13445.42,13328.3,13216.8,13105.2,12993.7,12882.1,12770.5,12658.9,12547.3,..,..
