country,continent,umd_tree_cover_extent_2000__ha,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e
Afghanistan,Asia,205771,15339,376800,-361461,13779,19743,9337,310,660,0,0,0,4893,3708,11409
Albania,Europe,648459,721806,5103589,-4381783,287044,357544,2171740,891429,456856,120041,334094,448993,724335,429556,427420
Algeria,Africa,1223325,1872312,4873094,-3000781,630061,1914290,2145388,1543294,1811470,1281104,1558776,7772718,1459887,1387405,2389009
Angola,Africa,55276135,62402574,170616018,-108213442,53362065,58093241,59464120,57602652,73779150,57495258,81701513,96868314,89321456,63088356,86151528
Argentina,Americas,39069969,69947451,162781598,-92834148,95353374,109718859,113857152,87423807,61539541,44936972,59421005,65046697,45966268,41087636,51442894
Australia,Oceania,42281439,94305549,205891865,-111586318,49032059,44322792,46782222,73837998,81045842,70507932,123641462,88814157,76876858,330570924,563980105
Austria,Europe,4340284,9540658,29515919,-19975261,8052753,9353109,5718173,3860429,4980972,4201960,9321415,10003734,14985244,18607137,14782590
Azerbaijan,Asia,1268606,102688,4353135,-4250447,163045,43076,174782,43803,64768,5170,8249,22639,23997,4112,7822
Bangladesh,Asia,1938958,6341158,19314139,-12972982,2470270,2278773,3085807,3418204,6833399,7242216,12336332,16716432,11266517,12778277,12428756
Belarus,Europe,9118583,17944990,64349173,-46404183,12236557,16012531,14166029,10028055,12209439,12237392,33321011,29592553,33405609,29058114,27661105
Belgium,Europe,865425,2779887,5662146,-2882258,5675384,2701125,3090068,1841304,2341941,1898962,2485458,2272095,2596945,3124914,3119756
