Entity,Code,Year,cattle_meat,oilseed_products,other_crops,rice,veg_fruits_nuts,wheat,sugar,plant_fibres,other_meat_products,other_cereals
Australia,AUS,2013,1767338.297,4969793.6,873074.7564,879389.0706,1175708.595,41496.59453,152323.3059,101078.2282,0,89034.20738
Austria,AUT,2013,750326.2634,959211.8081,226532.917,184118.4218,392507.1735,15495.06354,33453.3161,24966.58559,0,30146.19966
Belgium,BEL,2013,1666691.483,4135304.798,1082828.034,458813.42,1633892.461,50684.96248,85687.04013,106014.5491,0,86200.37873
Brazil,BRA,2013,466297528.4,7542319.309,5085772.606,10277208.35,11853222.16,3112053.787,6621832.434,1130639.559,0,2329114.419
Bulgaria,BGR,2013,74554.72228,287585.5568,93859.29854,32811.57969,65247.87969,2691.41573,12265.0532,4320.697777,0,5368.397603
Canada,CAN,2013,2665047.89,3624347.855,2009818.411,702091.0933,1593326.981,70277.87792,154281.6457,95454.95271,0,110420.5071
China,CHN,2013,12387036.52,118397858.5,15895193.43,5441660.441,12765543.28,207476.6486,1486521.618,1250616.329,0,460586.3048
Croatia,HRV,2013,117526.9577,185067.7252,43818.45443,28201.59885,50624.77643,2741.823991,6320.205714,3297.628531,0,5155.452931
Cyprus,CYP,2013,65817.3376,87130.50915,12946.64613,19470.53737,23095.76241,2452.112795,3942.72278,798.4420734,0,3783.883148
Czechia,CZE,2013,323900.2144,658518.9567,268878.6386,131315.9099,365266.3419,9401.029483,20885.76535,19826.64743,0,17658.68339
Denmark,DNK,2013,530664.657,1344172.28,123198.8141,159897.352,231565.739,16080.48256,36390.87658,11731.32537,0,23811.47428
Estonia,EST,2013,79226.79265,199731.8739,56260.03656,23490.02273,63735.09235,2728.546036,2747.702494,2472.253052,0,6891.428937
Finland,FIN,2013,428946.47,868781.6064,248907.9547,120323.7001,189102.6756,9798.575931,21680.18696,9492.541212,0,17155.39276
France,FRA,2013,4231518.594,7283871.021,2335327.286,1408886.032,6226556.806,146767.3639,231081.7333,241861.2117,0,329848.3675
Germany,DEU,2013,10313308,15618907,4803404.427,1591509.954,3853635.117,141415.8628,289798.4976,299549.1646,0,255080.1284
Greece,GRC,2013,285715.6256,1525001.706,158710.4687,97100.86133,203278.8435,12120.30595,21063.37839,16796.60557,0,19801.75229
Hungary,HUN,2013,173370.1937,430540.514,121181.2,64441.69649,78865.16595,5351.767904,11351.174,9688.342779,0,10381.31719
India,IND,2013,3191568.902,49486930.31,4037855.353,1580860.06,10805240.55,1710670.524,422958.3273,473932.3647,0,180430.0166
Indonesia,IDN,2013,1546610.031,55745287.06,10177914.6,62291319.14,35900819.2,45032.68024,2150309.308,313397.1522,0,1824969.896
Ireland,IRL,2013,419168.3568,680178.3656,144319.6009,178505.0144,267782.3278,19466.48695,35859.32259,9988.942755,0,26826.74635
Italy,ITA,2013,6010473.541,10588531.41,2158913.322,1011548.692,1931787.77,265430.5939,173590.7261,176637.8181,0,186015.8089
