"iso","country","planted_forest__ha","primary_forest__ha","regenerated_forest__ha","fao_treecover__ha","area_ha"
"AFG","Afghanistan",0,"",1208440,1208440,65286000
"ALB","Albania","",84800,"",788900,2.74E+6
"DZA","Algeria",5.1E+5,0,1439000,1949000,238174000
"ASM","American Samoa",0,90,17130,17130,2E+4
"AND","Andorra",0,0,16000,16000,47000
"AGO","Angola",807200,26743000,65800190,66607380.00000001,1.2467E+8
"AIA","Anguilla","",0,"",5500,9000
"ATG","Antigua and Barbuda","",0,"",8119.999999999999,44000
"ARG","Argentina",1436000,"",27137000,28573000,273669000
"ARM","Armenia",18470,17000,3.1E+5,328470,2847000
"ABW","Aruba",0,"",420,420,18000
"AUS","Australia",2390300,"",131614799.99999999,134005100,7.6823E+8
"AUT","Austria",1671500,63000,2227500,3899150,8252000
"AZE","Azerbaijan",305570,"",826200,1131770,8266000
"BHS","Bahamas",0,0,509860,509860,1001000
"BHR","Bahrain",700,"",0,700,77000
"BGD","Bangladesh",158070,"",1725330,1883400,13017000
"BRB","Barbados",0,"",6300,6300,43000
"BLR","Belarus",2212000,134800,6555600,8767600,20297800
"BEL","Belgium",438200,0,251200,689300,3028000
"BLZ","Belize",2390,"",1274670,1277050,2281000
"BEN","Benin",23000,0,3112150,3135150,11276000
"BMU","Bermuda","","","",1000,5000
"BTN","Bhutan",20820,413000,2704260,2725080,3812000
"BOL","Bolivia (Plurinational State of)",62600,"",50771160,50833760,1.0833E+8
"BES","Bonaire, Sint Eustatius and Saba",0,"",1910,1910,32200.000000000004
"BIH","Bosnia and Herzegovina","","","",2187910,5.12E+6
"BWA","Botswana",0,"",15254700,15254700,56673000
"BRA","Brazil",11223600,216187000,485396000,496619600,835814000
"VGB","British Virgin Islands","","","",3620,15000
"BRN","Brunei Darussalam",5260,263000,374740,3.8E+5,527000
"BGR","Bulgaria",777000,704000,3116000,3893000,10856000
"BFA","Burkina Faso",177100,0,6039300,6216400,2.736E+7
"BDI","Burundi",112970,64780,166670,279640,2568000
"CPV","Cabo Verde",32040,0,13680,45720,403000
"KHM","Cambodia",603970,322000,7464400,8068370,17652000
"CMR","Cameroon",61100,0,20279380,20340480,47271000
"CAN","Canada",18163390,205130730,328764710,346928100,909351000
"CYM","Cayman Islands",0,"",12720,12720,24000
"CAF","Central African Republic",2000,1988000,22301000,22303000,62298000
"TCD","Chad",19800,"",4293000,4313000,1.2592E+8
"CHL","Chile",3184700,5347670,15026030,18210700,74353000
"CHN","China",84696300,11453330,135281880,219978180,9.4247E+8
"COL","Colombia",427400,"",58714510,59141910,1.1095E+8
"COM","Comoros",210,"",32710,32920,186000
"COG","Congo",59500,"",21886500,21946000,3.415E+7
"COK","Cook Islands",1100,0,14400,15590,24000
"CRI","Costa Rica",86600,"",2948270,3034870,5106000
"HRV","Croatia",68590,6730,1870520,1939110,5596000
"CUB","Cuba",532660,0,2709340,3242000,10402000
"CUW","Curaçao",0,"",70,70,44400
"CYP","Cyprus",32750,0,139780,172530,924000
"CZE","Czechia",2539430,9990,137660,2677090,7721000
"CIV","Côte d'Ivoire",13950,1301510,2822760,2836710,3.180E+7
"PRK","Democratic People's Republic of Korea",987340,"",5042750,6030090,12041000
"COD","Democratic Republic of the Congo",57700,82751510,126097500,126155240,226705000
"DNK","Denmark",412040,21140,216440,628440,4199000
"DJI","Djibouti",200,0,5600,5800,2318000
"DMA","Dominica",810,26300,47060,47870,75000
"DOM","Dominican Republic",190010,"",1954090,2144100,4831000
"ECU","Ecuador",111010,"",12386790,12497830,24836000
"EGY","Egypt",44980,"",0,44980,99545000
"SLV","El Salvador",17610,"",566270,583880,2072000
"GNQ","Equatorial Guinea",125000,"",2323430,2448420,2805000
"ERI","Eritrea",43400,0,1011860,1055260,1.010E+7
"EST","Estonia",215740,52090,2222660,2438400,4347000
"SWZ","Eswatini",101930,1200,395670,497560,1.72E+6
"ETH","Ethiopia",1203300,"",15865200,17068500,111971550
"FLK","Falkland Islands (Malvinas)",0,0,0,0,1217000
"FRO","Faroe Islands",80,0,0,80,1.4E+5
"FJI","Fiji",206880,0,933140,1140020,1827000
"FIN","Finland",7368080,203000,15040920,22409000,30391000
"FRA","France",2434000,"",14819000,17253000,54756000
"GUF","French Guyana",800,7.64E+6,8002050,8002850,8.22E+6
"PYF","French Polynesia",9460,4E+4,1.4E+5,149460,366000
"GAB","Gabon",3E+4,"",23500590,23530600,25767000
"GMB","Gambia",1780,13000,240890,242670,1012000
"GEO","Georgia",71970,5.0E+5,2750430,2822400,6949000
"DEU","Germany",5709500,0,5709500,11419000,34886000
