"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AFG",2001,88.09271247269965993,27986.284115403841341
"AGO",2001,101218.50455395610954048,39294739.8011720946191256
"AIA",2001,3.87846070809678765,869.18025054106545
"ALA",2001,396.973630529133620268,76145.0684844281800052
"ALB",2001,3728.669851045808620444,1417747.0802918633579798
"AND",2001,1.654212947706163386,660.515240927689143
"ARG",2001,147801.679656720928783735,32550580.94819467131473455
"ARM",2001,131.840612264474793400,41307.41160035094757866
"ATG",2001,24.07418943832681752,7815.014219267019349
"AUS",2001,218813.577584283295509673,29028528.77274031245084008
"AUT",2001,6938.994706640184399316,2818397.500354192402756
"AZE",2001,553.299356121382343285,165141.1577119775995594
"BDI",2001,1417.24695708633776345,506023.088943659377722
"BEL",2001,971.488195276284739640,424997.92468307470442096
"BEN",2001,3748.18907676814743839,1167876.587975117528984
"BES",2001,3.03185725290093348,319.998964273059892
"BFA",2001,58.87265978878417996,286271.4408207710052494
"BGD",2001,4587.27991190893689761,2569187.13385402227908756
"BGR",2001,8202.263664499609417617,2110234.0132797047214277
"BHS",2001,432.99941970350677601,88088.79927159946932088
"BIH",2001,1496.051935720911363544,501472.198065448028528
"BLR",2001,18358.917114100801513418,5007433.8953444787696867
"BLZ",2001,8238.35983276663648857,3485151.5341950581541598
"BMU",2001,0.1958197936338976,89.87626818596836
"BOL",2001,140210.22188202205849325,63768187.63504303570774063
"BRA",2001,2746284.63835414332598109,1221138975.06239003826868598
"BRB",2001,12.36746156416883837,3763.4910074376835426
"BRN",2001,1244.45382286781181406,823190.2819933956828883
"BTN",2001,297.59088423505538202,170406.055592428127609
"BWA",2001,130.98388147723631295,26251.2376786675371984
"CAF",2001,31282.51371666452723391,15031912.466047900233215
"CAN",2001,1358153.550795877356774911,418315291.28127683007093626
"CHE",2001,1164.740312393400501451,545664.252171056425386
"CHL",2001,72711.244483407010147869,21253941.7604806236914981
"CHN",2001,230308.120576525342004871,89847224.58529097884910621
"CIV",2001,122694.83622771554095787,48808595.866608146989804
"CMR",2001,39203.71676148146813557,20479543.501085047813664
"COD",2001,455531.83548280035607319,270759203.1309348639275659
"COG",2001,27030.84964334350186107,14727544.2186757043626325
"COL",2001,229960.99067727586783279,118186872.33247291617640990
"COM",2001,36.97369320812446149,19283.278089475354692
"CPV",2001,14.2729015886588556,0.0
"CRI",2001,15483.27237924707003528,7410096.922518370753498
"CUB",2001,18942.90877802538838087,5898424.48421065636632074
"CUW",2001,0.90278852551215283,185.463562241005024
"CYM",2001,20.68161219993164144,4468.0272732141119426
"CYP",2001,78.62890207442059246,13247.77032679059026857
"CZE",2001,3451.145834548678047459,1315384.857201389585448
"DEU",2001,15286.527525617975639514,6229839.68845842243446264
"DMA",2001,22.79275551081271874,13209.731700213025377
"DNK",2001,4329.295853187873537952,1063653.43514699888008145
"DOM",2001,11247.53863011735962289,4371497.707637404342010
"DZA",2001,3468.200756658121158008,574332.00351400852781502
"ECU",2001,45079.70282993931126523,26015231.2261677405570198
"EGY",2001,147.76494268109266965,45260.975569668981324
"ERI",2001,2.52952433260253888,1234.126101976315222
"ESP",2001,32811.053519209309651231,9700001.52031713521745045
"EST",2001,16872.515160612041651010,3754501.8502225297447058
"ETH",2001,11947.24724356117084214,5528209.4393103544486105
"FIN",2001,151003.372858062442589541,28289648.4023648068727122
"FJI",2001,1097.76405439653025653,538322.267588611882428
"FRA",2001,34420.963394336189909819,13050980.3453116590814283
"GAB",2001,15082.63772959298517135,8854535.192760966437398
"GBR",2001,23247.500492252542073703,9039262.10598139382042431
"GEO",2001,666.556366612170179292,252162.9407165718481635
