iso,umd_tree_cover_loss__year,,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
AFG,2001,AFG2001,88.09271247,12.24929371
AGO,2001,AGO2001,101218.5046,888.6945611
AIA,2001,AIA2001,3.878460708,0
ALA,2001,ALA2001,396.9736305,8.129860985
ALB,2001,ALB2001,3728.669851,754.3177455
AND,2001,AND2001,1.654212948,0.285373012
ARG,2001,ARG2001,147801.6797,7970.38688
ARM,2001,ARM2001,131.8406123,28.98565124
ATG,2001,ATG2001,24.07418944,0.368163987
AUS,2001,AUS2001,218813.5776,154494.3554
AUT,2001,AUT2001,6938.994707,64.06513044
AZE,2001,AZE2001,553.2993561,102.6672525
BDI,2001,BDI2001,1417.246957,0.614435098
BEL,2001,BEL2001,971.4881953,10.19918555
BEN,2001,BEN2001,3748.189077,8.461169358
BES,2001,BES2001,3.031857253,0
BFA,2001,BFA2001,58.87265979,0
BGD,2001,BGD2001,4587.279912,119.0778104
BGR,2001,BGR2001,8202.263664,2588.538491
BHS,2001,BHS2001,432.9994197,71.08703236
BIH,2001,BIH2001,1496.051936,620.7405582
BLR,2001,BLR2001,18358.91711,339.6969632
BLZ,2001,BLZ2001,8238.359833,1290.807944
BMU,2001,BMU2001,0.195819794,0
BOL,2001,BOL2001,140210.2219,11429.52503
BRA,2001,BRA2001,2746284.638,127406.3781
BRB,2001,BRB2001,12.36746156,0.524635114
BRN,2001,BRN2001,1244.453823,53.21603476
BTN,2001,BTN2001,297.5908842,28.09743365
BWA,2001,BWA2001,130.9838815,3.553408238
CAF,2001,CAF2001,31282.51372,303.1105737
CAN,2001,CAN2001,1358153.551,520947.7573
CHE,2001,CHE2001,1164.740312,12.90191191
CHL,2001,CHL2001,72711.24448,3150.886163
CHN,2001,CHN2001,230308.1206,31948.77432
CIV,2001,CIV2001,122694.8362,608.5941962
CMR,2001,CMR2001,39203.71676,135.0208878
COD,2001,COD2001,455531.8355,7540.415647
COG,2001,COG2001,27030.84964,680.6041946
COL,2001,COL2001,229960.9907,9999.012797
COM,2001,COM2001,36.97369321,0.225947945
CPV,2001,CPV2001,14.27290159,2.528899463
CRI,2001,CRI2001,15483.27238,487.390492
CUB,2001,CUB2001,18942.90878,989.8441378
CUW,2001,CUW2001,0.902788526,0.075225039
CYM,2001,CYM2001,20.6816122,0.362984597
CYP,2001,CYP2001,78.62890207,41.24433561
CZE,2001,CZE2001,3451.145835,75.6086082
DEU,2001,DEU2001,15286.52753,165.5573545
DMA,2001,DMA2001,22.79275551,0.371002389
DNK,2001,DNK2001,4329.295853,129.5238683
DOM,2001,DOM2001,11247.53863,1110.62097
DZA,2001,DZA2001,3468.200757,2377.253402
ECU,2001,ECU2001,45079.70283,3396.726054
EGY,2001,EGY2001,147.7649427,17.00225301
ERI,2001,ERI2001,2.529524333,0.892756149
ESP,2001,ESP2001,32811.05352,7522.055904
EST,2001,EST2001,16872.51516,200.9310489
ETH,2001,ETH2001,11947.24724,48.16398035
FIN,2001,FIN2001,151003.3729,2066.713802
FJI,2001,FJI2001,1097.764054,22.98367063
FRA,2001,FRA2001,34420.96339,1602.153341
GAB,2001,GAB2001,15082.63773,180.8810327
GBR,2001,GBR2001,23247.50049,2740.916656
GEO,2001,GEO2001,666.5563666,61.80836734
GGY,2001,GGY2001,1.915356071,0.100828441
GHA,2001,GHA2001,43675.47234,101.7342358
GIB,2001,GIB2001,0.374571274,0
GIN,2001,GIN2001,18571.44958,104.7397149
GLP,2001,GLP2001,320.7023856,3.031383899
GMB,2001,GMB2001,3.297421863,0
GNB,2001,GNB2001,2362.153028,2.634593182
GNQ,2001,GNQ2001,3585.4191,7.612227418
GRC,2001,GRC2001,12616.99805,6902.323844
GRD,2001,GRD2001,32.81085887,0.075240976
GTM,2001,GTM2001,53315.18159,3476.064116
GUF,2001,GUF2001,3033.287749,196.7156678
GUY,2001,GUY2001,10039.86776,2923.336047
HND,2001,HND2001,42379.94942,3128.720272
HRV,2001,HRV2001,3378.489604,688.9521969
HTI,2001,HTI2001,2468.755987,189.027645
HUN,2001,HUN2001,7522.577033,96.82719036
IDN,2001,IDN2001,744083.9965,36584.61238
IMN,2001,IMN2001,31.95087523,6.714082139
IND,2001,IND2001,56791.85425,1856.463844
IRL,2001,IRL2001,9552.512807,597.5386963
IRN,2001,IRN2001,332.422266,62.84616548
IRQ,2001,IRQ2001,16.02663642,2.267511666
ISR,2001,ISR2001,145.9652381,16.52634444
ITA,2001,ITA2001,9870.964425,706.9286461
JAM,2001,JAM2001,1246.241523,28.05902341
JEY,2001,JEY2001,7.392677741,0.607639906
JOR,2001,JOR2001,0.522028031,0
JPN,2001,JPN2001,23977.46745,763.0968988
KAZ,2001,KAZ2001,4534.702741,1169.958089
KEN,2001,KEN2001,19027.36486,36.51739675
KGZ,2001,KGZ2001,589.1680235,226.8600644
KHM,2001,KHM2001,28491.21509,1055.472336
KNA,2001,KNA2001,45.4625956,1.177028532
KOR,2001,KOR2001,5504.162505,647.7419125
LAO,2001,LAO2001,36460.46616,123.7408599
LBN,2001,LBN2001,299.3406143,25.6995691
LBR,2001,LBR2001,29185.51739,303.9712256
LBY,2001,LBY2001,17.15270152,7.731218527
LCA,2001,LCA2001,31.08046321,1.793460508
LIE,2001,LIE2001,3.371316861,0.158040248
LKA,2001,LKA2001,3759.663202,73.46096684
LSO,2001,LSO2001,1.140052131,0
LTU,2001,LTU2001,7961.644147,113.4825803
LUX,2001,LUX2001,68.60969197,0.65116962
LVA,2001,LVA2001,24907.66437,201.8810314
MAF,2001,MAF2001,2.123655985,0.219694592
MAR,2001,MAR2001,1868.288606,569.7791036
MDA,2001,MDA2001,146.6880607,11.64532981
MDG,2001,MDG2001,86956.8327,2025.337708
MDV,2001,MDV2001,4.743487262,0
MEX,2001,MEX2001,158266.7343,13288.0053
MKD,2001,MKD2001,2059.979441,405.419176
MLI,2001,MLI2001,347.8706881,0.224969691
MLT,2001,MLT2001,1.251912538,0.06260556
MMR,2001,MMR2001,44804.16512,1130.501665
MNE,2001,MNE2001,858.6064135,216.4246109
MNG,2001,MNG2001,21056.672,11973.38785
MOZ,2001,MOZ2001,60941.27305,522.9708635
MRT,2001,MRT2001,31.83843537,0.221104337
MSR,2001,MSR2001,7.078555306,0.294899513
MTQ,2001,MTQ2001,192.9652483,4.022255047
MUS,2001,MUS2001,156.5813835,0
MWI,2001,MWI2001,2492.349445,5.341810082
MYS,2001,MYS2001,332805.9581,4875.85235
MYT,2001,MYT2001,31.30269367,0
NAM,2001,NAM2001,417.8061197,2.172941493
NCL,2001,NCL2001,697.9210994,57.00113922
NER,2001,NER2001,0.150195665,0
NGA,2001,NGA2001,43386.41818,117.7598641
NIC,2001,NIC2001,44088.63091,1550.349911
NLD,2001,NLD2001,736.4216234,17.87650657
NOR,2001,NOR2001,22445.90139,1066.198223
NPL,2001,NPL2001,1523.194752,197.9901115
NZL,2001,NZL2001,50528.2368,1128.345364
PAK,2001,PAK2001,191.3022295,61.13656371
PAN,2001,PAN2001,18267.61205,508.6174013
PER,2001,PER2001,86007.33958,4890.075718
PHL,2001,PHL2001,35165.04253,478.3224789
PLW,2001,PLW2001,52.11206112,2.05982917
PNG,2001,PNG2001,36004.98263,1185.622542
POL,2001,POL2001,19066.05238,232.1939354
PRI,2001,PRI2001,1252.362231,14.1289311
PRK,2001,PRK2001,11944.80496,5481.218834
PRT,2001,PRT2001,24404.85239,4291.263807
PRY,2001,PRY2001,150236.6218,8500.784052
PSE,2001,PSE2001,2.219302278,0.131587685
REU,2001,REU2001,28.61721413,0
ROU,2001,ROU2001,17535.31403,464.689065
RUS,2001,RUS2001,1826603.242,1161207.181
RWA,2001,RWA2001,1516.766321,1.691727825
SDN,2001,SDN2001,26.94295316,0.07558568
SEN,2001,SEN2001,70.59427485,0
SGP,2001,SGP2001,43.45389467,0
SLB,2001,SLB2001,2187.116825,29.80886689
SLE,2001,SLE2001,18596.4253,76.68178744
SLV,2001,SLV2001,9499.765295,209.032585
SOM,2001,SOM2001,339.3039459,1.149427915
SRB,2001,SRB2001,2379.528889,164.4604079
SSD,2001,SSD2001,4906.110762,38.71599202
STP,2001,STP2001,77.22190502,0
SUR,2001,SUR2001,3689.023596,272.5337764
SVK,2001,SVK2001,3897.394705,92.49086124
SVN,2001,SVN2001,612.2146946,8.024603522
SWE,2001,SWE2001,144927.3042,1843.892967
SWZ,2001,SWZ2001,6734.922901,44.10780785
SXM,2001,SXM2001,1.318283677,0.439431891
SYC,2001,SYC2001,0.379574768,0
SYR,2001,SYR2001,267.4241914,53.28465386
TCA,2001,TCA2001,7.72720305,0.214612486
TCD,2001,TCD2001,883.6264799,0.608254058
TGO,2001,TGO2001,2763.328435,7.624782946
THA,2001,THA2001,36092.89513,269.9256935
TJK,2001,TJK2001,61.53772785,9.725745092
TKM,2001,TKM2001,46.21279329,4.178397935
TLS,2001,TLS2001,677.5022312,43.3293014
TTO,2001,TTO2001,1829.096035,71.82454004
TUN,2001,TUN2001,230.7326188,52.77044597
TUR,2001,TUR2001,22909.88025,2106.725159
TWN,2001,TWN2001,1159.068116,19.98592869
TZA,2001,TZA2001,82214.12863,510.3202299
UGA,2001,UGA2001,29658.71674,15.91605018
UKR,2001,UKR2001,28826.43137,1253.868654
UMI,2001,UMI2001,2.11971068,0
URY,2001,URY2001,7661.660956,329.6748349
USA,2001,USA2001,1943318.243,308756.7574
UZB,2001,UZB2001,294.820902,74.23551106
VCT,2001,VCT2001,6.896545779,0.075027145
VEN,2001,VEN2001,123901.0905,16567.4657
VGB,2001,VGB2001,4.092501168,0.219250435
VIR,2001,VIR2001,122.5133707,2.347505886
VNM,2001,VNM2001,47456.83041,738.7682649
VUT,2001,VUT2001,124.3332979,1.329722162
XAD,2001,XAD2001,3.297978524,0.381229288
